Date,Open,High,Low,Close
15/07/2025,169,175.58,156.45,165.74
15/08/2025,165.9,169.19,118,137.9
15/09/2025,135.61,155.5,127,145.92
15/10/2025,146.96,155.94,141.73,151.82
15/11/2025,151.73,157.96,144.03,153.3
15/12/2025,153,154.52,133.71,145.23
16/01/2025,145,149.9,126.45,149.38
16/02/2025,150.4,157.85,132.74,137.67
16/03/2025,138.8,175.12,138.35,172.91
16/04/2025,172.02,190.44,165.33,188.73
16/05/2025,189.8,209,181.28,206.39
16/06/2025,206.4,223,201.14,221.3
16/07/2025,221.96,247.18,221.35,243.44
16/08/2025,244,275,240.68,272.56
16/09/2025,273.3,290,231.2,250.85
16/10/2025,253.41,265.5,245.8,253.52
16/11/2025,255,262.72,219.1,234.28
16/12/2025,235.4,245,218.25,231.26
17/01/2025,231.98,284.31,226.3,279.1
17/02/2025,280.4,294.19,275.61,290.56
17/03/2025,290.6,311.57,283.6,309.82
17/04/2025,309.6,330.58,300.2,326.14
17/05/2025,326,330.3,275.15,286.38
17/06/2025,286.66,306.34,280.21,292.37
17/07/2025,293.04,372,290.78,361.96
17/08/2025,363,368.52,337.37,351.15
17/09/2025,351,383.25,345.5,350
17/10/2025,354.6,375.75,299,314.35
17/11/2025,315.5,329.8,296,306.8
17/12/2025,307.2,319,300.65,315.05
18/01/2025,314,366,307.35,354.45
18/02/2025,355,366.5,304.65,322.25
18/03/2025,320.7,325.8,285.1,304.9
18/04/2025,305,368.75,303.3,362.05
18/05/2025,362.85,364.4,325.7,346.2
18/06/2025,348,350.1,327.35,339.6
18/07/2025,340,393.35,332.45,367.9
18/08/2025,369.95,404,338,343.4
18/09/2025,347.2,350,166.15,183.45
18/10/2025,180,268.45,168.6,188.05
18/11/2025,192,231.4,147,169.65
18/12/2025,174,194.3,160.2,181.75
19/01/2025,182.85,236.3,181.15,194.3
19/02/2025,197,236.9,167.65,231.2
19/03/2025,234.6,281.3,228.8,275.05
19/04/2025,277,285.9,165.3,168
19/05/2025,163.3,178.05,133.05,147.95
19/06/2025,147.95,153.8,98.75,108.7
19/07/2025,109.6,110.6,81.75,91.3
19/08/2025,89.2,92.4,53.15,59.5
19/09/2025,59.5,72.55,40.95,41.45
19/10/2025,42,76.65,29.05,70.45
19/11/2025,71,75.35,59.95,68.3
19/12/2025,70,70.5,40.7,46.95
20/01/2025,46.9,48.5,36.55,39.2
20/02/2025,39.1,40.7,33.6,34.55
20/03/2025,35.2,87.95,5.55,22.45
20/04/2025,22.3,30.45,20.3,27.95
20/05/2025,27.8,31.6,25.2,26.85
20/06/2025,27.75,31.95,25.55,25.6
20/07/2025,25.6,28.3,11.1,11.95
20/08/2025,12,17.16,11.85,14.37
20/09/2025,14.3,15.34,12.75,13.15
20/10/2025,13.3,14.01,12.11,12.42
20/11/2025,12.41,14.9,12.21,14.67
